17/03/28 14:22:41 INFO mapred.JobClient: Running job: job_201703271802_0002
17/03/28 14:22:42 INFO mapred.JobClient:  map 99% reduce 0%
17/03/28 15:29:29 INFO mapred.JobClient:  map 100% reduce 0%
17/03/28 15:29:32 INFO mapred.JobClient: Job complete: job_201703271802_0002
17/03/28 15:29:32 INFO mapred.JobClient: Counters: 71
17/03/28 15:29:32 INFO mapred.JobClient:   Map-Reduce Framework
17/03/28 15:29:32 INFO mapred.JobClient:     Spilled Records=0
17/03/28 15:29:32 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=1078180761600
17/03/28 15:29:32 INFO mapred.JobClient:     Map input records=101
17/03/28 15:29:32 INFO mapred.JobClient:     SPLIT_RAW_BYTES=4444
17/03/28 15:29:32 INFO mapred.JobClient:     Map output records=0
17/03/28 15:29:32 INFO mapred.JobClient:     Physical memory (bytes) snapshot=374289231872
17/03/28 15:29:32 INFO mapred.JobClient:     CPU time spent (ms)=302974270
17/03/28 15:29:32 INFO mapred.JobClient:     Total committed heap usage (bytes)=313751240704
17/03/28 15:29:32 INFO mapred.JobClient:   Zookeeper halt node
17/03/28 15:29:32 INFO mapred.JobClient:     /_hadoopBsp/job_201703271802_0002/_haltComputation=0
17/03/28 15:29:32 INFO mapred.JobClient:   Zookeeper server:port
17/03/28 15:29:32 INFO mapred.JobClient:     192.168.1.21:2181=0
17/03/28 15:29:32 INFO mapred.JobClient:   Giraph Timers
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 4 SimplePageRankComputation (ms)=114024
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 24 SimplePageRankComputation (ms)=123214
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 8 SimplePageRankComputation (ms)=114063
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 28 SimplePageRankComputation (ms)=127219
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 20 SimplePageRankComputation (ms)=126817
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 12 SimplePageRankComputation (ms)=125009
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 16 SimplePageRankComputation (ms)=121750
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 0 SimplePageRankComputation (ms)=106662
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 25 SimplePageRankComputation (ms)=127483
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 30 SimplePageRankComputation (ms)=111792
17/03/28 15:29:32 INFO mapred.JobClient:     Superstep 5 SimplePageRankComputation (ms)=113529
17/03/28 15:29:32 INFO mapred.JobClient:     Initialize (ms)=11127
